datetime,soft_counts,hard_counts,soft_ma5,soft_ma30,hard_ma5,hard_ma30,soft_diff,hard_diff,soft_std5,hard_std5,ratio,flare,target
2024-07-08 14:11:00+00:00,0.5,0.0,0.5,0.35722222222222216,0.0,0.02222222222222222,0.5,0.0,0.3535533905932738,4.2277531629784906e-07,0.5,0,0
2024-07-08 14:12:00+00:00,0.6,0.4,0.52,0.3605555555555556,0.08,0.035555555555555556,0.09999999999999998,0.4,0.3563705936241092,0.17888543820047936,0.4285714285714286,0,0
2024-07-08 14:13:00+00:00,0.25,1.5,0.37,0.3688888888888889,0.38,0.08555555555555555,-0.35,1.1,0.24392621835300932,0.6496152707566017,0.1,0,0
2024-07-08 14:14:00+00:00,0.2857142857142857,1.7142857142857142,0.3271428571428571,0.35619047619047617,0.7228571428571428,0.14269841269841269,0.0357142857142857,0.2142857142857142,0.23399808127592905,0.8270676008203309,0.10526315789473684,0,0
2024-07-08 14:15:00+00:00,0.25,0.0,0.3771428571428571,0.3478571428571428,0.7228571428571428,0.14269841269841269,-0.0357142857142857,-1.7142857142857142,0.16236454322899183,0.8270676008203309,0.25,0,0
2024-07-08 14:16:00+00:00,0.3333333333333333,0.0,0.3438095238095238,0.3478571428571428,0.7228571428571428,0.13714285714285712,0.08333333333333331,0.0,0.14724029752557372,0.8270676008203309,0.3333333333333333,0,0
2024-07-08 14:17:00+00:00,0.16666666666666666,0.5,0.2571428571428572,0.3284126984126984,0.7428571428571429,0.15380952380952378,-0.16666666666666666,0.5,0.06105181621408573,0.8184729434647432,0.1111111111111111,0,0
2024-07-08 14:18:00+00:00,0.16666666666666666,0.16666666666666666,0.24047619047619043,0.31396825396825395,0.47619047619047616,0.15936507936507935,0.0,-0.33333333333333337,0.07357874828743986,0.7215896409854397,0.14285714285714285,0,0
2024-07-08 14:19:00+00:00,0.0,0.0,0.18333333333333332,0.2973015873015873,0.13333333333333333,0.15936507936507935,-0.16666666666666666,-0.16666666666666666,0.1236033081182608,0.21730674684049478,0.0,0,0
2024-07-08 14:20:00+00:00,0.375,0.0,0.20833333333333331,0.301468253968254,0.13333333333333333,0.15936507936507935,0.375,0.0,0.1502313031443327,0.21730674684049478,0.375,0,0
2024-07-08 14:21:00+00:00,0.0,0.0,0.14166666666666666,0.29035714285714287,0.13333333333333333,0.15936507936507935,-0.375,0.0,0.1547847968417224,0.21730674684049478,0.0,0,0
2024-07-08 14:22:00+00:00,0.5,0.0,0.20833333333333331,0.30702380952380953,0.03333333333333333,0.15936507936507935,0.5,0.0,0.22438186696393755,0.07453559925118831,0.5,0,0
